Array size;BubbleSort;InsertionSort;BinaryInsertionSort;CountingSort;RadixSort;MergeSort;HoarSort;HeapSort;BubbleSort;InsertionSort;BinaryInsertionSort;CountingSort;RadixSort;MergeSort;HoarSort;HeapSort;BubbleSort;InsertionSort;BinaryInsertionSort;CountingSort;RadixSort;MergeSort;HoarSort;HeapSort;BubbleSort;InsertionSort;BinaryInsertionSort;CountingSort;RadixSort;MergeSort;HoarSort;HeapSort
50;4473;5706;343;2530;12040;36086;13780;39880;4710;4213;376;29746;20353;43006;6863;40900;5706;4640;236;2246;24020;25366;6580;48466;4706;4810;850;3263;20850;37786;4483;54066
100;23376;17653;593;3633;22083;70260;31476;93783;15250;15693;540;29313;20423;78730;12260;110866;15996;18590;643;6880;15726;81676;11176;78013;15003;13156;490;3796;18290;66486;9690;85800
150;55923;30863;546;3040;25003;122603;34753;116230;38140;43640;530;40946;28346;63910;8816;155630;38943;41843;876;5970;23443;107626;12580;157526;46603;43423;556;5310;22796;84940;8873;134033
200;67180;55983;650;5973;23490;90530;41933;150506;55980;47953;606;24440;25196;147720;38723;194980;59290;65396;786;5220;19536;125613;24786;219910;65710;58236;756;5046;25106;122620;23273;225986
250;127636;119363;843;5223;36916;179990;83966;281343;130763;120910;1413;39600;37050;247793;28616;303766;106683;154206;1286;11376;46210;195840;22593;336246;111066;116060;1346;9933;45306;178093;33696;248233
300;143343;123986;966;4973;31116;150700;78613;244953;146793;132950;1370;34063;31030;200890;35763;311973;166720;128520;1016;5976;36876;178193;28633;376213;189133;141713;1043;7843;26783;186290;27866;379096
